🇭🇰香港直连,#genre#
凤凰中文[1280x720],http://php.17186.eu.org/phtv/fhzw.m3u8 
凤凰资讯[1280x720],http://php.17186.eu.org/phtv/fhzx.m3u8 
凤凰香港[1280x720],http://php.17186.eu.org/phtv/fhxg.m3u8
測試01(DAZN F1),https://sc2022.stream-link.org/tv2306.php?id=c01
測試02(DAZN 西甲),https://sc2022.stream-link.org/tv2306.php?id=c02
華麗(翡翠台),https://sc2022.stream-link.org/tv2306.php?id=h26
翡翠台,https://sc2022.stream-link.org/tv2306.php?id=h01
翡翠台,https://sc2022.stream-link.org/tv2306.php?id=h02
J2台,https://sc2022.stream-link.org/tv2306.php?id=h03
無綫新聞台,https://sc2022.stream-link.org/tv2306.php?id=h04
無綫財經·體育·資訊台,https://sc2022.stream-link.org/tv2306.php?id=h05
無綫新聞台,https://sc2022.stream-link.org/tv2306.php?id=h06
無綫財經·體育·資訊台,https://sc2022.stream-link.org/tv2306.php?id=h07
ViuTV99,https://sc2022.stream-link.org/tv2306.php?id=h29
澳視澳門,https://sc2022.stream-link.org/tv2306.php?id=h08
港台电视31,https://sc2022.stream-link.org/tv2306.php?id=h09
港台电视32,https://sc2022.stream-link.org/tv2306.php?id=h10
港台电视33,https://sc2022.stream-link.org/tv2306.php?id=h11
中央新聞台,https://sc2022.stream-link.org/tv2306.php?id=h12
香港國際財經台(第一聲道),https://sc2022.stream-link.org/tv2306.php?id=h13
香港國際財經台(第二聲道),https://sc2022.stream-link.org/tv2306.php?id=h14
香港開電視(第一聲道),https://sc2022.stream-link.org/tv2306.php?id=h15
香港開電視(第二聲道),https://sc2022.stream-link.org/tv2306.php?id=h16
香港開電視資訊台,https://sc2022.stream-link.org/tv2306.php?id=h17
鳳凰衛視資訊台,https://sc2022.stream-link.org/tv2306.php?id=h18
鳳凰衛視中文台,https://sc2022.stream-link.org/tv2306.php?id=h19
Now新聞台,https://sc2022.stream-link.org/tv2306.php?id=h20
澳門蓮花衛視,https://sc2022.stream-link.org/tv2306.php?id=h21
TVB華語劇台,https://sc2022.stream-link.org/tv2306.php?id=h22
TVB星河台,https://sc2022.stream-link.org/tv2306.php?id=h23
TVB千禧經典台,https://sc2022.stream-link.org/tv2306.php?id=h24
8TV,https://sc2022.stream-link.org/tv2306.php?id=h25
Astro AEC,https://sc2022.stream-link.org/tv2306.php?id=h27
Astro QJ,https://sc2022.stream-link.org/tv2306.php?id=h28
Now精選體育,https://sc2022.stream-link.org/tv2306.php?id=s01
五星體育,https://sc2022.stream-link.org/tv2306.php?id=s02
緯來體育,https://sc2022.stream-link.org/tv2306.php?id=s03
Abu Dhabi Sports 1,https://sc2022.stream-link.org/tv2306.php?id=s05
Abu Dhabi Sports 2,https://sc2022.stream-link.org/tv2306.php?id=s06
Dubai Sports 3,https://sc2022.stream-link.org/tv2306.php?id=s07
